NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-MP1,2020-10-19,AUD,16.65,2021-06-30,31.6,89.79,89.0,2021-01-13,12.9,OPEN,-22.52,-66.0,34.0,-25.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-04-02,6.74,169.6,272.0,2021-01-13,2.79,OPEN,11.6,37.0,50.0,7.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-08,3.82,52.8,101.0,2021-01-13,2.79,OPEN,11.6,37.0,59.0,22.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-21,3.85,54.0,94.0,2021-01-13,2.79,OPEN,11.6,37.0,54.0,21.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-05-27,19.67,40.1,48.0,2021-01-13,12.9,OPEN,-8.12,-27.0,36.0,-20.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-08-03,29.89,112.89,102.0,2021-01-13,12.9,OPEN,-8.12,-27.0,28.0,-7.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-04-02,12.13,70.85,115.0,2021-01-13,7.84,OPEN,10.42,35.0,49.0,15.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-02-07,12.55,76.76,192.0,2021-01-13,7.84,OPEN,10.42,35.0,75.0,14.0
-,ASX-ELO,2020-11-05,AUD,5.87,2020-12-15,7.71,31.35,198.0,2020-12-15,5.69,CLOSED,-3.07,-19.0,100.0,-10.0
-,ASX-PBH,2020-11-06,AUD,11.38,2020-12-25,21.04,84.89,437.0,2020-12-24,11.88,CLOSED,4.39,23.0,98.0,5.0
-,ASX-MP1,2020-11-06,AUD,14.81,2021-07-30,28.09,89.67,85.0,2021-01-13,12.9,OPEN,-12.9,-48.0,26.0,-14.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-16,6.28,142.47,363.0,2021-01-13,2.79,OPEN,7.72,30.0,66.0,5.0
-,ASX-SKO,2020-11-09,AUD,4.82,2021-02-17,6.65,37.97,96.0,2021-01-13,5.19,OPEN,7.68,30.0,65.0,20.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-05,4.03,55.6,159.0,2021-01-13,2.79,OPEN,7.72,30.0,74.0,14.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-01,3.87,49.42,148.0,2021-01-13,2.79,OPEN,7.72,30.0,77.0,16.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-10-08,4.55,172.46,131.0,2021-01-13,1.335,OPEN,-20.06,-79.0,19.0,-12.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-03-08,2.46,47.31,101.0,2021-01-13,1.335,OPEN,-20.06,-79.0,54.0,-42.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-19,5.64,168.57,271.0,2021-01-13,2.79,OPEN,32.86,136.0,39.0,19.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-03-25,3.17,50.95,97.0,2021-01-13,2.79,OPEN,32.86,136.0,46.0,64.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-07,3.19,51.9,90.0,2021-01-13,2.79,OPEN,32.86,136.0,42.0,63.0
-,ASX-M7T,2020-11-13,AUD,1.13,2021-09-09,2.2,94.69,80.0,2021-01-13,1.27,OPEN,12.39,51.0,20.0,13.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-08-18,2.65,170.41,157.0,2021-01-13,1.255,OPEN,28.06,124.0,21.0,16.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-03-12,1.51,54.08,119.0,2021-01-13,1.255,OPEN,28.06,124.0,50.0,52.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-04-21,4.68,377.55,614.0,2021-01-13,1.255,OPEN,28.06,124.0,37.0,7.0
-,ASX-OCL,2020-11-18,AUD,13.19,2021-08-03,18.1,37.23,36.0,2021-01-13,13.1,OPEN,-0.68,-3.0,22.0,-2.0
-,ASX-PBH,2020-11-19,AUD,11.46,2021-01-07,21.19,84.9,437.0,2021-01-07,11.81,CLOSED,3.05,16.0,100.0,4.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-12,9.45,34.04,29.0,2021-01-13,1.48,OPEN,-79.01,-362.0,19.0,-232.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-09,9.58,35.89,31.0,2021-01-13,1.48,OPEN,-79.01,-362.0,19.0,-220.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-18,2.33,34.29,29.0,2021-01-13,1.48,OPEN,-14.7,-76.0,16.0,-43.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-15,2.36,36.02,31.0,2021-01-13,1.48,OPEN,-14.7,-76.0,17.0,-41.0
-,ASX-HM1,2020-11-26,AUD,4.69,2021-04-27,6.29,34.12,57.0,2021-01-13,4.4,OPEN,-6.18,-32.0,32.0,-18.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-06-25,18.07,40.08,48.0,2021-01-13,12.9,OPEN,0.0,0.0,23.0,0.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-09-01,27.47,112.95,102.0,2021-01-13,12.9,OPEN,0.0,0.0,17.0,0.0
-,ASX-MP1,2020-11-30,AUD,12.78,2021-06-29,17.9,40.06,48.0,2021-01-13,12.9,OPEN,0.94,5.0,21.0,2.0
-,ASX-MP1,2020-11-30,AUD,12.78,2021-09-05,27.21,112.91,102.0,2021-01-13,12.9,OPEN,0.94,5.0,16.0,1.0
-,ASX-PPH,2020-11-30,AUD,1.705,2021-09-23,2.29,34.31,29.0,2021-01-13,1.48,OPEN,-13.2,-76.0,15.0,-38.0
-,ASX-PPH,2020-11-30,AUD,1.705,2021-09-20,2.32,36.07,31.0,2021-01-13,1.48,OPEN,-13.2,-76.0,15.0,-37.0
-,ASX-AD8,2020-12-01,AUD,7.4,2021-06-08,14.13,90.95,121.0,2021-01-13,7.84,OPEN,5.95,35.0,23.0,7.0
-,ASX-BTH,2020-12-01,AUD,1.25,2021-04-09,1.81,44.8,88.0,2021-01-13,1.015,OPEN,-18.8,-110.0,33.0,-42.0
-,ASX-BTH,2020-12-01,AUD,1.25,2021-06-08,1.95,56.0,75.0,2021-01-13,1.015,OPEN,-18.8,-110.0,23.0,-34.0
-,ASX-EMV,2020-12-02,AUD,3.42,2021-02-08,5.12,49.71,184.0,2021-01-13,3.12,OPEN,-8.77,-53.0,62.0,-18.0
-,ASX-EMV,2020-12-02,AUD,3.42,2021-02-17,7.08,107.02,350.0,2021-01-13,3.12,OPEN,-8.77,-53.0,55.0,-8.0
-,ASX-EMV,2020-12-02,AUD,3.42,2021-05-17,10.59,209.65,318.0,2021-01-13,3.12,OPEN,-8.77,-53.0,25.0,-4.0
-,ASX-MMM,2020-12-02,AUD,2.0,2021-05-08,5.37,168.5,270.0,2021-01-13,2.79,OPEN,39.5,237.0,27.0,23.0
-,ASX-MMM,2020-12-02,AUD,2.0,2021-04-13,3.02,51.0,97.0,2021-01-13,2.79,OPEN,39.5,237.0,32.0,77.0
-,ASX-MMM,2020-12-02,AUD,2.0,2021-04-26,3.04,52.0,90.0,2021-01-13,2.79,OPEN,39.5,237.0,29.0,76.0
-,ASX-SPT,2020-12-02,AUD,1.315,2021-03-12,3.35,154.75,390.0,2021-01-13,1.39,OPEN,5.7,34.0,42.0,4.0
-,ASX-SPT,2020-12-02,AUD,1.315,2021-01-16,1.88,42.97,241.0,2021-01-13,1.39,OPEN,5.7,34.0,93.0,13.0
-,ASX-SPT,2020-12-02,AUD,1.315,2021-01-18,2.14,62.74,336.0,2021-01-13,1.39,OPEN,5.7,34.0,89.0,9.0
-,ASX-ELO,2020-12-03,AUD,6.4,2021-01-12,8.4,31.25,197.0,2021-01-12,6.53,CLOSED,2.03,13.0,100.0,6.0
-,ASX-PBH,2020-12-03,AUD,12.48,2021-01-21,23.07,84.86,436.0,2021-01-13,13.23,OPEN,6.01,37.0,84.0,7.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-09-26,3.79,173.65,147.0,2021-01-13,1.335,OPEN,-3.61,-22.0,14.0,-2.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-06-04,2.48,79.06,109.0,2021-01-13,1.335,OPEN,-3.61,-22.0,22.0,-5.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-09-01,4.21,203.97,189.0,2021-01-13,1.335,OPEN,-3.61,-22.0,15.0,-2.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-06-29,2.23,61.01,74.0,2021-01-13,1.335,OPEN,-3.61,-22.0,20.0,-6.0
-,ASX-MP1,2020-12-04,AUD,13.32,2021-08-27,25.27,89.71,85.0,2021-01-13,12.9,OPEN,-3.15,-20.0,15.0,-4.0
-,ASX-OCL,2020-12-04,AUD,13.08,2021-08-19,17.95,37.23,36.0,2021-01-13,13.1,OPEN,0.15,1.0,16.0,0.0
-,ASX-OCL,2020-12-04,AUD,13.08,2021-09-07,17.87,36.62,33.0,2021-01-13,13.1,OPEN,0.15,1.0,14.0,0.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-09-30,3.8,173.38,147.0,2021-01-13,1.335,OPEN,-3.96,-27.0,12.0,-2.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-06-08,2.48,78.42,108.0,2021-01-13,1.335,OPEN,-3.96,-27.0,20.0,-5.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-09-05,4.23,204.32,189.0,2021-01-13,1.335,OPEN,-3.96,-27.0,14.0,-2.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-07-03,2.23,60.43,73.0,2021-01-13,1.335,OPEN,-3.96,-27.0,18.0,-7.0
-,ASX-5GN,2020-12-08,AUD,1.455,2021-10-01,3.98,173.54,147.0,2021-01-13,1.335,OPEN,-8.25,-58.0,12.0,-5.0
-,ASX-5GN,2020-12-08,AUD,1.455,2021-07-04,2.34,60.82,74.0,2021-01-13,1.335,OPEN,-8.25,-58.0,17.0,-14.0
-,ASX-MMM,2020-12-09,AUD,2.12,2021-03-18,5.14,142.45,363.0,2021-01-13,2.79,OPEN,31.6,228.0,35.0,22.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-05-30,4.85,311.02,456.0,2021-01-13,1.39,OPEN,17.8,128.0,20.0,6.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-20,2.4,103.39,258.0,2021-01-13,1.39,OPEN,17.8,128.0,35.0,17.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-18,2.63,122.88,313.0,2021-01-13,1.39,OPEN,17.8,128.0,35.0,14.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-05-30,4.85,311.02,456.0,2021-01-13,1.39,OPEN,17.8,128.0,20.0,6.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-20,2.4,103.39,258.0,2021-01-13,1.39,OPEN,17.8,128.0,35.0,17.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-18,2.63,122.88,313.0,2021-01-13,1.39,OPEN,17.8,128.0,35.0,14.0
-,ASX-MMM,2020-12-09,AUD,2.12,2021-03-07,3.3,55.66,159.0,2021-01-13,2.79,OPEN,31.6,228.0,40.0,57.0
-,ASX-MMM,2020-12-09,AUD,2.12,2021-03-03,3.17,49.53,149.0,2021-01-13,2.79,OPEN,31.6,228.0,42.0,64.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-01-01,4.06,31.39,439.0,2020-12-31,3.12,CLOSED,0.97,14.0,94.0,3.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-01-12,4.58,48.22,419.0,2021-01-12,3.15,CLOSED,1.94,17.0,100.0,4.0
-,ASX-MMM,2020-12-14,AUD,2.73,2021-02-19,3.97,45.42,171.0,2021-01-13,2.79,OPEN,2.2,18.0,45.0,5.0
-,ASX-MMM,2020-12-14,AUD,2.73,2021-02-16,3.85,41.03,162.0,2021-01-13,2.79,OPEN,2.2,18.0,47.0,5.0
-,ASX-MMM,2020-12-14,AUD,2.73,2021-02-26,6.51,138.46,472.0,2021-01-13,2.79,OPEN,2.2,18.0,41.0,2.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-02-20,4.63,49.84,185.0,2021-01-13,3.12,OPEN,0.97,8.0,44.0,2.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-03-01,6.4,107.12,351.0,2021-01-13,3.12,OPEN,0.97,8.0,39.0,1.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-05-29,9.57,209.71,318.0,2021-01-13,3.12,OPEN,0.97,8.0,18.0,0.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-02-10,5.53,78.96,343.0,2021-01-13,3.12,OPEN,0.97,8.0,52.0,1.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-08-27,20.67,568.93,560.0,2021-01-13,3.12,OPEN,0.97,8.0,12.0,0.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-02-19,7.64,147.25,554.0,2021-01-13,3.12,OPEN,0.97,8.0,45.0,1.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-05-19,11.43,269.9,436.0,2021-01-13,3.12,OPEN,0.97,8.0,19.0,0.0
