NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-MP1,2020-10-19,AUD,16.65,2021-06-30,31.6,89.79,89.0,2021-01-11,12.92,OPEN,-22.4,-67.0,33.0,-25.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-04-02,6.74,169.6,272.0,2021-01-11,2.81,OPEN,12.4,41.0,48.0,7.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-08,3.82,52.8,101.0,2021-01-11,2.81,OPEN,12.4,41.0,58.0,23.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-21,3.85,54.0,94.0,2021-01-11,2.81,OPEN,12.4,41.0,52.0,23.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-05-27,19.67,40.1,48.0,2021-01-11,12.92,OPEN,-7.98,-27.0,36.0,-20.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-08-03,29.89,112.89,102.0,2021-01-11,12.92,OPEN,-7.98,-27.0,27.0,-7.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-04-02,12.13,70.85,115.0,2021-01-11,7.71,OPEN,8.59,29.0,48.0,12.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-02-07,12.55,76.76,192.0,2021-01-11,7.71,OPEN,8.59,29.0,73.0,11.0
-,ASX-ELO,2020-11-05,AUD,5.87,2020-12-15,7.71,31.35,198.0,2020-12-15,5.69,CLOSED,-3.07,-19.0,100.0,-10.0
-,ASX-PBH,2020-11-06,AUD,11.38,2020-12-25,21.04,84.89,437.0,2020-12-24,11.88,CLOSED,4.39,23.0,98.0,5.0
-,ASX-MP1,2020-11-06,AUD,14.81,2021-07-30,28.09,89.67,85.0,2021-01-11,12.92,OPEN,-12.76,-49.0,25.0,-14.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-16,6.28,142.47,363.0,2021-01-11,2.81,OPEN,8.49,34.0,64.0,6.0
-,ASX-SKO,2020-11-09,AUD,4.82,2021-02-17,6.65,37.97,96.0,2021-01-11,5.3,OPEN,9.96,40.0,63.0,26.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-05,4.03,55.6,159.0,2021-01-11,2.81,OPEN,8.49,34.0,72.0,15.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-01,3.87,49.42,148.0,2021-01-11,2.81,OPEN,8.49,34.0,75.0,17.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-10-08,4.55,172.46,131.0,2021-01-11,1.41,OPEN,-15.57,-63.0,19.0,-9.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-03-08,2.46,47.31,101.0,2021-01-11,1.41,OPEN,-15.57,-63.0,53.0,-33.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-19,5.64,168.57,271.0,2021-01-11,2.81,OPEN,33.81,144.0,38.0,20.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-03-25,3.17,50.95,97.0,2021-01-11,2.81,OPEN,33.81,144.0,45.0,66.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-07,3.19,51.9,90.0,2021-01-11,2.81,OPEN,33.81,144.0,41.0,65.0
-,ASX-M7T,2020-11-13,AUD,1.13,2021-09-09,2.2,94.69,80.0,2021-01-11,1.245,OPEN,10.18,43.0,20.0,11.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-08-18,2.65,170.41,157.0,2021-01-11,1.315,OPEN,34.18,157.0,20.0,20.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-03-12,1.51,54.08,119.0,2021-01-11,1.315,OPEN,34.18,157.0,48.0,63.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-04-21,4.68,377.55,614.0,2021-01-11,1.315,OPEN,34.18,157.0,35.0,9.0
-,ASX-OCL,2020-11-18,AUD,13.19,2021-08-03,18.1,37.23,36.0,2021-01-11,13.1,OPEN,-0.68,-3.0,21.0,-2.0
-,ASX-PBH,2020-11-19,AUD,11.46,2021-01-07,21.19,84.9,437.0,2021-01-07,11.81,CLOSED,3.05,16.0,100.0,4.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-12,9.45,34.04,29.0,2021-01-11,1.495,OPEN,-78.79,-375.0,18.0,-231.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-09,9.58,35.89,31.0,2021-01-11,1.495,OPEN,-78.79,-375.0,18.0,-220.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-18,2.33,34.29,29.0,2021-01-11,1.495,OPEN,-13.83,-74.0,16.0,-40.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-15,2.36,36.02,31.0,2021-01-11,1.495,OPEN,-13.83,-74.0,16.0,-38.0
-,ASX-HM1,2020-11-26,AUD,4.69,2021-04-27,6.29,34.12,57.0,2021-01-11,4.44,OPEN,-5.33,-29.0,30.0,-16.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-06-25,18.07,40.08,48.0,2021-01-11,12.92,OPEN,0.16,1.0,22.0,0.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-09-01,27.47,112.95,102.0,2021-01-11,12.92,OPEN,0.16,1.0,16.0,0.0
-,ASX-MP1,2020-11-30,AUD,12.78,2021-06-29,17.9,40.06,48.0,2021-01-11,12.92,OPEN,1.1,7.0,20.0,3.0
-,ASX-MP1,2020-11-30,AUD,12.78,2021-09-05,27.21,112.91,102.0,2021-01-11,12.92,OPEN,1.1,7.0,15.0,1.0
-,ASX-PPH,2020-11-30,AUD,1.705,2021-09-23,2.29,34.31,29.0,2021-01-11,1.495,OPEN,-12.32,-74.0,14.0,-36.0
-,ASX-PPH,2020-11-30,AUD,1.705,2021-09-20,2.32,36.07,31.0,2021-01-11,1.495,OPEN,-12.32,-74.0,14.0,-34.0
-,ASX-AD8,2020-12-01,AUD,7.4,2021-06-08,14.13,90.95,121.0,2021-01-11,7.71,OPEN,4.19,26.0,22.0,5.0
-,ASX-BTH,2020-12-01,AUD,1.25,2021-04-09,1.81,44.8,88.0,2021-01-11,1.015,OPEN,-18.8,-116.0,32.0,-42.0
-,ASX-BTH,2020-12-01,AUD,1.25,2021-06-08,1.95,56.0,75.0,2021-01-11,1.015,OPEN,-18.8,-116.0,22.0,-34.0
-,ASX-EMV,2020-12-02,AUD,3.42,2021-02-08,5.12,49.71,184.0,2021-01-11,3.08,OPEN,-9.94,-63.0,59.0,-20.0
-,ASX-EMV,2020-12-02,AUD,3.42,2021-02-17,7.08,107.02,350.0,2021-01-11,3.08,OPEN,-9.94,-63.0,52.0,-9.0
-,ASX-EMV,2020-12-02,AUD,3.42,2021-05-17,10.59,209.65,318.0,2021-01-11,3.08,OPEN,-9.94,-63.0,24.0,-5.0
-,ASX-MMM,2020-12-02,AUD,2.0,2021-05-08,5.37,168.5,270.0,2021-01-11,2.81,OPEN,40.5,255.0,25.0,24.0
-,ASX-MMM,2020-12-02,AUD,2.0,2021-04-13,3.02,51.0,97.0,2021-01-11,2.81,OPEN,40.5,255.0,30.0,79.0
-,ASX-MMM,2020-12-02,AUD,2.0,2021-04-26,3.04,52.0,90.0,2021-01-11,2.81,OPEN,40.5,255.0,28.0,78.0
-,ASX-SPT,2020-12-02,AUD,1.315,2021-03-12,3.35,154.75,390.0,2021-01-11,1.41,OPEN,7.22,45.0,40.0,5.0
-,ASX-SPT,2020-12-02,AUD,1.315,2021-01-16,1.88,42.97,241.0,2021-01-11,1.41,OPEN,7.22,45.0,89.0,17.0
-,ASX-SPT,2020-12-02,AUD,1.315,2021-01-18,2.14,62.74,336.0,2021-01-11,1.41,OPEN,7.22,45.0,85.0,12.0
-,ASX-ELO,2020-12-03,AUD,6.4,2021-01-12,8.4,31.25,197.0,2021-01-11,6.8,OPEN,6.25,40.0,98.0,20.0
-,ASX-PBH,2020-12-03,AUD,12.48,2021-01-21,23.07,84.86,436.0,2021-01-11,12.18,OPEN,-2.4,-16.0,80.0,-3.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-09-26,3.79,173.65,147.0,2021-01-11,1.41,OPEN,1.81,12.0,13.0,1.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-06-04,2.48,79.06,109.0,2021-01-11,1.41,OPEN,1.81,12.0,21.0,2.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-09-01,4.21,203.97,189.0,2021-01-11,1.41,OPEN,1.81,12.0,14.0,1.0
-,ASX-5GN,2020-12-03,AUD,1.385,2021-06-29,2.23,61.01,74.0,2021-01-11,1.41,OPEN,1.81,12.0,19.0,3.0
-,ASX-MP1,2020-12-04,AUD,13.32,2021-08-27,25.27,89.71,85.0,2021-01-11,12.92,OPEN,-3.0,-20.0,14.0,-3.0
-,ASX-OCL,2020-12-04,AUD,13.08,2021-08-19,17.95,37.23,36.0,2021-01-11,13.1,OPEN,0.15,1.0,15.0,0.0
-,ASX-OCL,2020-12-04,AUD,13.08,2021-09-07,17.87,36.62,33.0,2021-01-11,13.1,OPEN,0.15,1.0,14.0,0.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-09-30,3.8,173.38,147.0,2021-01-11,1.41,OPEN,1.44,10.0,12.0,1.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-06-08,2.48,78.42,108.0,2021-01-11,1.41,OPEN,1.44,10.0,19.0,2.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-09-05,4.23,204.32,189.0,2021-01-11,1.41,OPEN,1.44,10.0,13.0,1.0
-,ASX-5GN,2020-12-07,AUD,1.39,2021-07-03,2.23,60.43,73.0,2021-01-11,1.41,OPEN,1.44,10.0,17.0,2.0
-,ASX-5GN,2020-12-08,AUD,1.455,2021-10-01,3.98,173.54,147.0,2021-01-11,1.41,OPEN,-3.09,-23.0,11.0,-2.0
-,ASX-5GN,2020-12-08,AUD,1.455,2021-07-04,2.34,60.82,74.0,2021-01-11,1.41,OPEN,-3.09,-23.0,16.0,-5.0
-,ASX-MMM,2020-12-09,AUD,2.12,2021-03-18,5.14,142.45,363.0,2021-01-11,2.81,OPEN,32.55,249.0,33.0,23.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-05-30,4.85,311.02,456.0,2021-01-11,1.41,OPEN,19.49,149.0,19.0,6.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-20,2.4,103.39,258.0,2021-01-11,1.41,OPEN,19.49,149.0,33.0,19.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-18,2.63,122.88,313.0,2021-01-11,1.41,OPEN,19.49,149.0,33.0,16.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-05-30,4.85,311.02,456.0,2021-01-11,1.41,OPEN,19.49,149.0,19.0,6.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-20,2.4,103.39,258.0,2021-01-11,1.41,OPEN,19.49,149.0,33.0,19.0
-,ASX-SPT,2020-12-09,AUD,1.18,2021-03-18,2.63,122.88,313.0,2021-01-11,1.41,OPEN,19.49,149.0,33.0,16.0
-,ASX-MMM,2020-12-09,AUD,2.12,2021-03-07,3.3,55.66,159.0,2021-01-11,2.81,OPEN,32.55,249.0,38.0,58.0
-,ASX-MMM,2020-12-09,AUD,2.12,2021-03-03,3.17,49.53,149.0,2021-01-11,2.81,OPEN,32.55,249.0,39.0,66.0
-,ASX-EMV,2020-12-14,AUD,3.09,2021-01-01,4.06,31.39,439.0,2020-12-31,3.12,CLOSED,0.97,14.0,94.0,3.0
-,ASX-MMM,2020-12-14,AUD,2.73,2021-02-19,3.97,45.42,171.0,2021-01-11,2.81,OPEN,2.93,26.0,42.0,6.0
-,ASX-MMM,2020-12-14,AUD,2.73,2021-02-16,3.85,41.03,162.0,2021-01-11,2.81,OPEN,2.93,26.0,44.0,7.0
-,ASX-MMM,2020-12-14,AUD,2.73,2021-02-26,6.51,138.46,472.0,2021-01-11,2.81,OPEN,2.93,26.0,38.0,2.0
