NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,1299.HK,2020-06-11,HKD,71.35,2021-06-11,83.39,16.87,12.0,2020-11-10,83.39,CLOSED,16.87,28.0,42.0,100.0
-,1299.HK,2020-06-11,HKD,71.35,2021-06-11,84.2,18.01,12.0,2020-11-10,84.2,CLOSED,18.01,30.0,42.0,100.0
-,2588.HK,2020-06-11,HKD,50.2,2021-06-11,58.26,16.06,11.0,2020-08-28,58.26,CLOSED,16.06,52.0,21.0,100.0
-,0700.HK,2020-06-11,HKD,442.4,2021-06-11,648.19,46.52,32.0,2020-12-21,572.0,OPEN,29.29,38.0,53.0,63.0
-,2382.HK,2020-06-11,HKD,111.5,2021-06-11,169.32,51.86,36.0,2020-12-21,153.6,OPEN,37.76,49.0,53.0,73.0
-,0175.HK,2020-06-12,HKD,11.96,2021-06-12,19.23,60.79,42.0,2020-07-13,19.23,CLOSED,60.79,494.0,8.0,100.0
-,0400.HK,2020-06-12,HKD,0.82,2021-06-12,0.99,20.73,14.0,2020-06-17,0.99,CLOSED,20.73,1045.0,1.0,100.0
-,0700.HK,2020-06-12,HKD,441.6,2021-06-12,532.86,20.67,14.0,2020-07-08,532.86,CLOSED,20.67,200.0,7.0,100.0
-,2588.HK,2020-06-12,HKD,50.3,2021-06-12,61.11,21.49,15.0,2020-09-07,61.11,CLOSED,21.49,62.0,24.0,100.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,35.01,20.31,14.0,2020-12-21,31.25,OPEN,7.39,10.0,53.0,36.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,34.82,19.66,14.0,2020-12-21,31.25,OPEN,7.39,10.0,53.0,38.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,34.66,19.11,13.0,2020-12-21,31.25,OPEN,7.39,10.0,53.0,39.0
-,0345.HK,2020-06-12,HKD,29.1,2021-06-12,34.82,19.66,14.0,2020-12-21,31.25,OPEN,7.39,10.0,53.0,38.0
-,0435.HK,2020-06-12,HKD,3.92,2021-06-12,4.66,18.88,13.0,2020-12-21,3.82,OPEN,-2.55,-3.0,53.0,-14.0
-,1251.HK,2020-06-12,HKD,0.32,2021-06-12,0.43,34.37,24.0,2020-12-21,0.28,OPEN,-12.5,-16.0,53.0,-36.0
-,2588.HK,2020-06-15,HKD,48.95,2021-06-15,56.81,16.06,11.0,2020-08-25,56.81,CLOSED,16.06,57.0,19.0,100.0
