NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-ANZ,2020-01-21,AUD,25.51,2020-10-09,26.58,4.19,4.0,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
-,ASX-A2M,2020-01-22,AUD,15.59,2020-07-05,23.89,53.24,81.0,2020-07-03,19.83,CLOSED,27.2,42.0,99.0,51.0
-,ASX-VVR,2020-01-22,AUD,2.75,2020-03-10,2.89,5.09,27.0,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
-,ASX-VVR,2020-01-22,AUD,2.75,2020-10-04,2.91,5.82,6.0,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
-,ASX-A2M,2020-01-22,AUD,15.59,2020-04-15,19.81,27.07,81.0,2020-04-15,18.1,CLOSED,16.1,48.0,100.0,59.0
-,ASX-VVR,2020-01-22,AUD,2.75,2020-02-13,2.83,2.91,33.0,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
-,ASX-A2M,2020-01-22,AUD,15.59,2020-02-25,17.25,10.65,79.0,2020-02-25,15.14,CLOSED,-2.89,-21.0,100.0,-27.0
-,0175.HK,2020-01-22,HKD,14.1,2020-11-15,18.96,34.47,29.0,2020-07-13,18.96,CLOSED,34.47,50.0,58.0,100.0
-,DLR,2020-01-22,USD,126.28,2020-07-24,139.05,10.11,14.0,2020-03-13,139.05,CLOSED,10.11,50.0,28.0,100.0
-,ASX-VVR,2020-01-22,AUD,2.75,2020-07-06,3.05,10.91,17.0,2020-05-15,2.44,OPEN,-11.27,-25.0,69.0,-103.0
-,ASX-A2M,2020-01-22,AUD,15.59,2020-10-24,34.02,118.22,108.0,2020-08-07,18.99,OPEN,21.81,28.0,72.0,18.0
-,ASX-BOQ,2020-01-22,AUD,7.4,2020-12-09,8.02,8.38,7.0,2020-08-07,5.9,OPEN,-20.27,-26.0,61.0,-242.0
-,RIO,2020-01-22,USD,60.5,2020-10-06,68.82,13.75,13.0,2020-08-06,62.46,OPEN,3.24,4.0,76.0,24.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-03-10,18.0,17.57,94.0,2020-03-10,16.04,CLOSED,4.77,26.0,100.0,27.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-08-10,19.97,30.44,38.0,2020-06-18,19.97,CLOSED,30.44,52.0,74.0,100.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-06-09,18.2,18.88,34.0,2020-04-15,18.2,CLOSED,18.88,57.0,60.0,100.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-10-07,15.72,2.68,3.0,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-02-13,16.63,8.62,103.0,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-02-03,15.78,3.07,70.0,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-02-13,16.63,8.62,103.0,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
-,ASX-A2M,2020-01-23,AUD,15.31,2020-03-04,18.48,20.71,127.0,2020-03-04,16.18,CLOSED,5.68,35.0,100.0,27.0
-,NFLX,2020-01-23,USD,349.6,2020-08-04,491.61,40.62,53.0,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
-,ITA,2020-01-23,USD,231.24,2020-05-25,239.52,3.58,7.0,2020-02-11,239.52,CLOSED,3.58,47.0,15.0,100.0
-,NFLX,2020-01-23,USD,349.6,2020-07-14,453.54,29.73,43.0,2020-02-17,453.54,CLOSED,29.73,300.0,14.0,100.0
-,ITA,2020-01-23,USD,231.24,2020-04-25,234.01,1.2,3.0,2020-02-05,234.01,CLOSED,1.2,23.0,14.0,100.0
-,ITA,2020-01-23,USD,231.24,2021-01-08,253.55,9.65,7.0,2020-08-06,164.86,OPEN,-28.71,-37.0,56.0,-298.0
-,ASX-CQR,2020-01-24,AUD,4.67,2020-11-19,4.97,6.42,5.0,2020-02-10,4.97,CLOSED,6.42,95.0,6.0,100.0
-,ASX-CQR,2020-01-24,AUD,4.67,2020-07-04,4.99,6.85,11.0,2020-02-17,4.99,CLOSED,6.85,72.0,15.0,100.0
-,WMT,2020-01-28,USD,116.6,2021-01-15,129.36,10.94,8.0,2020-04-14,129.36,CLOSED,10.94,36.0,22.0,100.0
-,DIS,2020-01-28,USD,138.37,2020-07-16,147.68,6.73,10.0,2020-07-16,119.43,CLOSED,-13.69,-20.0,100.0,-203.0
-,ASX-NAN,2020-01-28,AUD,6.83,2020-12-18,9.64,41.14,32.0,2020-08-07,6.31,OPEN,-7.61,-10.0,59.0,-19.0
-,DIS,2020-01-28,USD,138.37,2020-08-19,148.61,7.4,9.0,2020-08-06,130.82,OPEN,-5.46,-7.0,94.0,-74.0
-,ASX-CWN,2020-01-29,AUD,11.55,2020-04-01,12.18,5.45,22.0,2020-04-01,8.0,CLOSED,-30.74,-123.0,100.0,-563.0
-,ASX-CWN,2020-01-29,AUD,11.55,2020-07-21,12.53,8.48,12.0,2020-07-21,9.31,CLOSED,-19.39,-28.0,100.0,-229.0
-,ASX-AGL,2020-01-29,AUD,20.14,2020-07-03,21.37,6.11,10.0,2020-07-03,17.59,CLOSED,-12.66,-20.0,100.0,-207.0
-,ASX-CWN,2020-01-29,AUD,11.55,2020-04-11,12.08,4.59,16.0,2020-04-09,8.32,CLOSED,-27.97,-99.0,97.0,-609.0
-,ASX-CWN,2020-01-29,AUD,11.55,2020-07-24,12.34,6.84,10.0,2020-07-24,9.07,CLOSED,-21.47,-31.0,100.0,-314.0
-,0268.HK,2020-01-29,HKD,8.71,2020-06-09,9.48,8.84,17.0,2020-02-04,9.48,CLOSED,8.84,371.0,5.0,100.0
-,0268.HK,2020-01-29,HKD,8.71,2020-09-12,11.65,33.75,37.0,2020-04-20,11.65,CLOSED,33.75,104.0,36.0,100.0
-,ITA,2020-01-29,USD,232.11,2020-05-30,245.18,5.63,12.0,2020-05-29,164.55,CLOSED,-29.11,-61.0,99.0,-517.0
-,ITA,2020-01-29,USD,232.11,2020-05-21,241.3,3.96,9.0,2020-05-21,153.34,CLOSED,-33.94,-76.0,100.0,-857.0
-,ITA,2020-01-29,USD,232.11,2021-01-10,265.51,14.39,10.0,2020-08-06,164.86,OPEN,-28.97,-38.0,55.0,-201.0
-,ASX-CWN,2020-01-30,AUD,11.6,2020-04-12,12.14,4.66,16.0,2020-04-09,8.32,CLOSED,-28.28,-102.0,96.0,-607.0
-,ASX-IVC,2020-01-30,AUD,13.11,2020-12-01,14.77,12.66,10.0,2020-02-27,14.77,CLOSED,12.66,114.0,9.0,100.0
-,ASX-IVC,2020-01-30,AUD,13.11,2020-12-01,14.77,12.66,10.0,2020-02-27,14.77,CLOSED,12.66,114.0,9.0,100.0
-,ASX-CWN,2020-01-30,AUD,11.6,2020-07-25,12.39,6.81,10.0,2020-07-24,9.07,CLOSED,-21.81,-31.0,99.0,-320.0
-,2588.HK,2020-01-30,HKD,71.4,2020-03-18,77.04,7.9,41.0,2020-03-18,41.2,CLOSED,-42.3,-222.0,100.0,-535.0
-,2588.HK,2020-01-30,HKD,71.4,2020-04-03,78.62,10.11,40.0,2020-04-03,46.8,CLOSED,-34.45,-136.0,100.0,-341.0
-,2588.HK,2020-01-30,HKD,71.4,2020-06-16,85.34,19.52,36.0,2020-06-16,51.3,CLOSED,-28.15,-51.0,100.0,-144.0
-,2588.HK,2020-01-30,HKD,71.4,2020-07-10,83.65,17.16,27.0,2020-07-10,48.05,CLOSED,-32.7,-51.0,100.0,-191.0
-,2588.HK,2020-01-30,HKD,71.4,2020-05-17,73.67,3.18,7.0,2020-02-04,73.67,CLOSED,3.18,160.0,5.0,100.0
-,NFLX,2020-01-30,USD,347.74,2020-06-26,495.11,42.38,72.0,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
-,NFLX,2020-01-30,USD,347.74,2020-05-05,442.08,27.13,71.0,2020-02-17,442.08,CLOSED,27.13,380.0,19.0,100.0
-,DIS,2020-01-30,USD,137.81,2020-07-18,147.08,6.73,10.0,2020-02-05,147.08,CLOSED,6.73,283.0,4.0,100.0
-,MSFT,2020-01-30,USD,172.78,2020-11-30,184.18,6.6,5.0,2020-02-05,184.18,CLOSED,6.6,277.0,2.0,100.0
-,MMM,2020-01-30,USD,162.51,2020-10-17,184.03,13.24,13.0,2020-08-06,156.0,OPEN,-4.01,-5.0,72.0,-30.0
-,MMM,2020-01-30,USD,162.51,2020-11-27,185.75,14.3,12.0,2020-08-06,156.0,OPEN,-4.01,-5.0,63.0,-28.0
-,ASX-CWN,2020-01-31,AUD,11.7,2020-04-13,12.24,4.62,16.0,2020-04-09,8.32,CLOSED,-28.89,-106.0,95.0,-626.0
-,ASX-CWN,2020-01-31,AUD,11.7,2020-07-26,12.5,6.84,10.0,2020-07-24,9.07,CLOSED,-22.48,-32.0,99.0,-329.0
-,0175.HK,2020-01-31,HKD,12.54,2020-10-23,18.85,50.32,48.0,2020-07-07,18.85,CLOSED,50.32,80.0,59.0,100.0
-,0175.HK,2020-01-31,HKD,12.54,2020-11-24,16.86,34.45,29.0,2020-07-07,16.86,CLOSED,34.45,55.0,53.0,100.0
-,AMZN,2020-01-31,USD,2008.72,2020-08-08,2650.71,31.96,42.0,2020-06-10,2650.71,CLOSED,31.96,61.0,69.0,100.0
-,AMZN,2020-01-31,USD,2008.72,2020-09-23,2551.88,27.04,29.0,2020-06-09,2551.88,CLOSED,27.04,52.0,55.0,100.0
-,2208.HK,2020-01-31,HKD,8.23,2020-12-26,10.94,32.93,25.0,2020-08-07,7.95,OPEN,-3.4,-5.0,57.0,-10.0
-,ASX-VVR,2020-02-03,AUD,2.75,2020-04-27,2.92,6.18,19.0,2020-02-17,2.92,CLOSED,6.18,111.0,17.0,100.0
-,ASX-VVR,2020-02-03,AUD,2.75,2020-08-22,2.9,5.45,7.0,2020-02-17,2.9,CLOSED,5.45,98.0,7.0,100.0
-,ASX-VVR,2020-02-03,AUD,2.75,2020-03-11,2.81,2.18,15.0,2020-02-13,2.81,CLOSED,2.18,55.0,27.0,100.0
-,0175.HK,2020-02-03,HKD,12.6,2020-10-26,18.94,50.32,48.0,2020-07-13,18.94,CLOSED,50.32,79.0,61.0,100.0
-,1299.HK,2020-02-03,HKD,78.5,2020-06-11,86.48,10.17,20.0,2020-06-11,71.35,CLOSED,-9.11,-18.0,100.0,-90.0
-,0175.HK,2020-02-03,HKD,12.6,2020-11-27,16.94,34.44,29.0,2020-07-07,16.94,CLOSED,34.44,56.0,52.0,100.0
-,1299.HK,2020-02-03,HKD,78.5,2020-04-01,82.75,5.41,24.0,2020-04-01,69.7,CLOSED,-11.21,-49.0,100.0,-207.0
-,0386.HK,2020-02-03,HKD,4.07,2020-04-16,4.23,3.93,14.0,2020-02-06,4.23,CLOSED,3.93,330.0,4.0,100.0
-,AMZN,2020-02-03,USD,2004.2,2020-09-15,2548.34,27.15,30.0,2020-06-09,2548.34,CLOSED,27.15,54.0,56.0,100.0
-,AMZN,2020-02-03,USD,2004.2,2020-08-13,2651.76,32.31,42.0,2020-06-10,2651.76,CLOSED,32.31,64.0,67.0,100.0
-,LULU,2020-02-03,USD,246.37,2020-10-15,324.81,31.84,31.0,2020-07-20,324.81,CLOSED,31.84,48.0,66.0,100.0
-,NKE,2020-02-03,USD,99.27,2020-06-11,107.09,7.88,15.0,2020-06-11,95.17,CLOSED,-4.13,-8.0,100.0,-52.0
-,NKE,2020-02-03,USD,99.27,2020-04-17,104.0,4.76,16.0,2020-04-17,89.91,CLOSED,-9.43,-32.0,100.0,-198.0
-,LULU,2020-02-03,USD,246.37,2021-01-09,296.63,20.4,15.0,2020-05-29,296.63,CLOSED,20.4,44.0,34.0,100.0
-,ASX-VVR,2020-02-03,AUD,2.75,2020-09-13,3.23,17.45,20.0,2020-05-15,2.44,OPEN,-11.27,-28.0,46.0,-65.0
-,1299.HK,2020-02-03,HKD,78.5,2020-09-12,94.12,19.9,23.0,2020-08-07,71.15,OPEN,-9.36,-13.0,84.0,-47.0
-,0857.HK,2020-02-03,HKD,3.38,2020-10-30,5.39,59.47,56.0,2020-08-07,2.71,OPEN,-19.82,-27.0,69.0,-33.0
-,NKE,2020-02-03,USD,99.27,2020-12-21,120.1,20.98,16.0,2020-08-06,100.45,OPEN,1.19,2.0,57.0,6.0
-,ASX-CWN,2020-02-04,AUD,11.56,2020-04-17,12.09,4.58,16.0,2020-04-17,8.16,CLOSED,-29.41,-102.0,100.0,-642.0
-,ASX-NAB,2020-02-04,AUD,25.6,2021-01-04,27.4,7.03,5.0,2020-02-19,27.4,CLOSED,7.03,118.0,4.0,100.0
-,ASX-CWN,2020-02-04,AUD,11.56,2020-07-30,12.35,6.83,10.0,2020-07-30,9.0,CLOSED,-22.15,-32.0,100.0,-324.0
-,0288.HK,2020-02-04,HKD,7.45,2020-07-04,9.08,21.88,37.0,2020-07-03,6.94,CLOSED,-6.85,-12.0,99.0,-31.0
-,0175.HK,2020-02-04,HKD,12.76,2020-10-27,19.18,50.31,48.0,2020-07-13,19.18,CLOSED,50.31,79.0,60.0,100.0
-,0175.HK,2020-02-04,HKD,12.76,2020-11-28,17.16,34.48,29.0,2020-07-07,17.16,CLOSED,34.48,56.0,52.0,100.0
-,1038.HK,2020-02-04,HKD,54.05,2020-06-27,57.33,6.07,11.0,2020-06-26,40.6,CLOSED,-24.88,-44.0,99.0,-410.0
-,1816.HK,2020-02-04,HKD,1.91,2020-04-08,2.01,5.24,21.0,2020-02-11,2.01,CLOSED,5.24,189.0,11.0,100.0
-,1038.HK,2020-02-04,HKD,54.05,2020-04-02,55.81,3.26,14.0,2020-04-02,40.45,CLOSED,-25.16,-109.0,100.0,-773.0
-,2800.HK,2020-02-04,HKD,26.85,2020-07-13,28.79,7.23,11.0,2020-07-13,26.48,CLOSED,-1.38,-2.0,100.0,-19.0
-,0267.HK,2020-02-04,HKD,8.87,2020-03-24,9.57,7.89,41.0,2020-03-24,8.28,CLOSED,-6.65,-34.0,100.0,-84.0
-,0288.HK,2020-02-04,HKD,7.45,2020-06-28,8.05,8.05,14.0,2020-02-07,8.05,CLOSED,8.05,676.0,2.0,100.0
-,0267.HK,2020-02-04,HKD,8.87,2020-05-30,11.13,25.48,55.0,2020-05-29,7.36,CLOSED,-17.02,-37.0,99.0,-67.0
-,MA,2020-02-04,USD,329.12,2020-05-30,379.01,15.16,33.0,2020-05-29,300.89,CLOSED,-8.58,-19.0,99.0,-57.0
-,UPS,2020-02-04,USD,103.38,2020-04-11,106.19,2.72,10.0,2020-02-05,106.19,CLOSED,2.72,685.0,1.0,100.0
-,MA,2020-02-04,USD,329.12,2020-04-21,351.07,6.67,22.0,2020-04-21,245.35,CLOSED,-25.45,-83.0,100.0,-382.0
-,QQQ,2020-02-04,USD,227.47,2020-07-13,239.69,5.37,8.0,2020-06-05,239.69,CLOSED,5.37,11.0,76.0,100.0
-,QQQ,2020-02-04,USD,227.47,2020-05-14,231.18,1.63,4.0,2020-02-10,231.18,CLOSED,1.63,68.0,6.0,100.0
-,UPS,2020-02-04,USD,103.38,2020-08-10,109.66,6.07,8.0,2020-06-08,109.66,CLOSED,6.07,12.0,66.0,100.0
-,UPS,2020-02-04,USD,103.38,2020-04-06,107.01,3.51,14.0,2020-02-06,107.01,CLOSED,3.51,442.0,3.0,100.0
-,0288.HK,2020-02-04,HKD,7.45,2020-08-14,11.31,51.81,68.0,2020-08-07,6.95,OPEN,-6.71,-9.0,96.0,-13.0
-,2208.HK,2020-02-04,HKD,8.31,2021-01-11,11.08,33.33,25.0,2020-08-07,7.95,OPEN,-4.33,-6.0,54.0,-13.0
-,1038.HK,2020-02-04,HKD,54.05,2021-01-19,66.87,23.72,17.0,2020-08-07,39.8,OPEN,-26.36,-36.0,53.0,-111.0
-,2388.HK,2020-02-04,HKD,26.0,2021-02-02,33.46,28.69,20.0,2020-08-07,21.35,OPEN,-17.88,-24.0,51.0,-62.0
-,2800.HK,2020-02-04,HKD,26.85,2020-12-07,31.8,18.44,15.0,2020-08-07,25.18,OPEN,-6.22,-8.0,60.0,-34.0
-,2208.HK,2020-02-04,HKD,8.31,2020-12-30,11.05,32.97,25.0,2020-08-07,7.95,OPEN,-4.33,-6.0,56.0,-13.0
-,MA,2020-02-04,USD,329.12,2020-11-19,428.09,30.07,26.0,2020-08-06,330.14,OPEN,0.31,0.0,64.0,1.0
-,MMM,2020-02-04,USD,157.24,2020-10-22,178.06,13.24,13.0,2020-08-06,156.0,OPEN,-0.79,-1.0,70.0,-6.0
-,MMM,2020-02-04,USD,157.24,2020-12-02,179.73,14.3,12.0,2020-08-06,156.0,OPEN,-0.79,-1.0,61.0,-6.0
-,ASX-VVR,2020-02-05,AUD,2.77,2020-03-24,2.91,5.05,27.0,2020-02-17,2.91,CLOSED,5.05,106.0,25.0,100.0
-,ASX-VVR,2020-02-05,AUD,2.77,2020-02-27,2.85,2.89,33.0,2020-02-17,2.85,CLOSED,2.89,61.0,55.0,100.0
-,ASX-ORG,2020-02-05,AUD,7.8,2020-04-07,8.42,7.95,32.0,2020-04-07,4.88,CLOSED,-37.44,-152.0,100.0,-471.0
-,ASX-ORG,2020-02-05,AUD,7.8,2020-04-12,8.25,5.77,22.0,2020-04-09,5.1,CLOSED,-34.62,-136.0,96.0,-600.0
-,2588.HK,2020-02-05,HKD,74.2,2020-07-04,87.29,17.64,30.0,2020-07-03,50.1,CLOSED,-32.48,-55.0,99.0,-184.0
-,2588.HK,2020-02-05,HKD,74.2,2020-07-07,84.83,14.33,24.0,2020-07-07,51.2,CLOSED,-31.0,-51.0,100.0,-216.0
-,2768.HK,2020-02-05,HKD,2.87,2020-04-12,3.53,23.0,87.0,2020-04-09,3.19,CLOSED,11.15,44.0,96.0,48.0
-,2768.HK,2020-02-05,HKD,2.87,2020-02-26,3.55,23.69,284.0,2020-02-26,3.05,CLOSED,6.27,75.0,100.0,26.0
-,0288.HK,2020-02-05,HKD,7.66,2020-07-05,9.34,21.93,37.0,2020-07-03,6.94,CLOSED,-9.4,-16.0,99.0,-43.0
-,2768.HK,2020-02-05,HKD,2.87,2020-02-14,3.09,7.67,215.0,2020-02-13,3.09,CLOSED,7.67,242.0,89.0,100.0
-,2588.HK,2020-02-05,HKD,74.2,2020-04-02,80.17,8.05,36.0,2020-04-02,45.95,CLOSED,-38.07,-168.0,100.0,-473.0
