NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-MP1,2020-10-19,AUD,16.65,2021-06-30,31.6,89.79,89.0,2021-01-14,13.27,OPEN,-20.3,-59.0,34.0,-23.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-04-02,6.74,169.6,272.0,2021-01-14,2.78,OPEN,11.2,36.0,50.0,7.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-08,3.82,52.8,101.0,2021-01-14,2.78,OPEN,11.2,36.0,60.0,21.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-21,3.85,54.0,94.0,2021-01-14,2.78,OPEN,11.2,36.0,54.0,21.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-05-27,19.67,40.1,48.0,2021-01-14,13.27,OPEN,-5.48,-18.0,37.0,-14.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-08-03,29.89,112.89,102.0,2021-01-14,13.27,OPEN,-5.48,-18.0,28.0,-5.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-04-02,12.13,70.85,115.0,2021-01-14,7.74,OPEN,9.01,29.0,50.0,13.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-02-07,12.55,76.76,192.0,2021-01-14,7.74,OPEN,9.01,29.0,76.0,12.0
-,ASX-ELO,2020-11-05,AUD,5.87,2020-12-15,7.71,31.35,198.0,2020-12-15,5.69,CLOSED,-3.07,-19.0,100.0,-10.0
-,ASX-PBH,2020-11-06,AUD,11.38,2020-12-25,21.04,84.89,437.0,2020-12-24,11.88,CLOSED,4.39,23.0,98.0,5.0
-,ASX-MP1,2020-11-06,AUD,14.81,2021-07-30,28.09,89.67,85.0,2021-01-14,13.27,OPEN,-10.4,-38.0,26.0,-12.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-16,6.28,142.47,363.0,2021-01-14,2.78,OPEN,7.34,28.0,67.0,5.0
-,ASX-SKO,2020-11-09,AUD,4.82,2021-02-17,6.65,37.97,96.0,2021-01-14,5.2,OPEN,7.88,30.0,66.0,21.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-05,4.03,55.6,159.0,2021-01-14,2.78,OPEN,7.34,28.0,75.0,13.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-01,3.87,49.42,148.0,2021-01-14,2.78,OPEN,7.34,28.0,79.0,15.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-10-08,4.55,172.46,131.0,2021-01-14,1.335,OPEN,-20.06,-78.0,20.0,-12.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-03-08,2.46,47.31,101.0,2021-01-14,1.335,OPEN,-20.06,-78.0,55.0,-42.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-19,5.64,168.57,271.0,2021-01-14,2.78,OPEN,32.38,132.0,39.0,19.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-03-25,3.17,50.95,97.0,2021-01-14,2.78,OPEN,32.38,132.0,47.0,64.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-07,3.19,51.9,90.0,2021-01-14,2.78,OPEN,32.38,132.0,43.0,62.0
-,ASX-M7T,2020-11-13,AUD,1.13,2021-09-09,2.2,94.69,80.0,2021-01-14,1.215,OPEN,7.52,31.0,21.0,8.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-08-18,2.65,170.41,157.0,2021-01-14,1.265,OPEN,29.08,126.0,21.0,17.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-03-12,1.51,54.08,119.0,2021-01-14,1.265,OPEN,29.08,126.0,50.0,54.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-04-21,4.68,377.55,614.0,2021-01-14,1.265,OPEN,29.08,126.0,37.0,8.0
-,ASX-OCL,2020-11-18,AUD,13.19,2021-08-03,18.1,37.23,36.0,2021-01-14,13.0,OPEN,-1.44,-6.0,22.0,-4.0
-,ASX-PBH,2020-11-19,AUD,11.46,2021-01-07,21.19,84.9,437.0,2021-01-07,11.81,CLOSED,3.05,16.0,100.0,4.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-12,9.45,34.04,29.0,2021-01-14,1.485,OPEN,-78.94,-355.0,19.0,-232.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-09,9.58,35.89,31.0,2021-01-14,1.485,OPEN,-78.94,-355.0,19.0,-220.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-18,2.33,34.29,29.0,2021-01-14,1.485,OPEN,-14.41,-73.0,17.0,-42.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-15,2.36,36.02,31.0,2021-01-14,1.485,OPEN,-14.41,-73.0,17.0,-40.0
-,ASX-HM1,2020-11-26,AUD,4.69,2021-04-27,6.29,34.12,57.0,2021-01-14,4.35,OPEN,-7.25,-37.0,32.0,-21.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-06-25,18.07,40.08,48.0,2021-01-14,13.27,OPEN,2.87,15.0,23.0,7.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-09-01,27.47,112.95,102.0,2021-01-14,13.27,OPEN,2.87,15.0,18.0,3.0
