NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,ASX-MP1,2020-10-19,AUD,16.65,2021-06-30,31.6,89.79,89.0,2020-12-18,14.99,OPEN,-9.97,-42.0,24.0,-11.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-04-02,6.74,169.6,272.0,2020-12-18,2.64,OPEN,5.6,27.0,33.0,3.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-08,3.82,52.8,101.0,2020-12-18,2.64,OPEN,5.6,27.0,39.0,11.0
-,ASX-MMM,2020-10-27,AUD,2.5,2021-03-21,3.85,54.0,94.0,2020-12-18,2.64,OPEN,5.6,27.0,36.0,10.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-05-27,19.67,40.1,48.0,2020-12-18,14.99,OPEN,6.77,33.0,24.0,17.0
-,ASX-MP1,2020-10-28,AUD,14.04,2021-08-03,29.89,112.89,102.0,2020-12-18,14.99,OPEN,6.77,33.0,18.0,6.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-04-02,12.13,70.85,115.0,2020-12-18,7.76,OPEN,9.3,47.0,32.0,13.0
-,ASX-AD8,2020-10-29,AUD,7.1,2021-02-07,12.55,76.76,192.0,2020-12-18,7.76,OPEN,9.3,47.0,50.0,12.0
-,ASX-ELO,2020-11-05,AUD,5.87,2020-12-15,7.71,31.35,198.0,2020-12-15,5.69,CLOSED,-3.07,-19.0,100.0,-10.0
-,ASX-MP1,2020-11-06,AUD,14.81,2021-07-30,28.09,89.67,85.0,2020-12-18,14.99,OPEN,1.22,7.0,16.0,1.0
-,ASX-PBH,2020-11-06,AUD,11.38,2020-12-25,21.04,84.89,437.0,2020-12-18,11.9,OPEN,4.57,27.0,86.0,5.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-SZL,2020-11-09,AUD,7.42,2020-11-26,10.07,35.71,529.0,2020-11-26,6.13,CLOSED,-17.39,-258.0,100.0,-49.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-16,6.28,142.47,363.0,2020-12-18,2.64,OPEN,1.93,12.0,39.0,1.0
-,ASX-SKO,2020-11-09,AUD,4.82,2021-02-17,6.65,37.97,96.0,2020-12-18,5.42,OPEN,12.45,80.0,39.0,33.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-05,4.03,55.6,159.0,2020-12-18,2.64,OPEN,1.93,12.0,44.0,3.0
-,ASX-MMM,2020-11-09,AUD,2.59,2021-02-01,3.87,49.42,148.0,2020-12-18,2.64,OPEN,1.93,12.0,46.0,4.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-10-08,4.55,172.46,131.0,2020-12-18,1.35,OPEN,-19.16,-127.0,11.0,-11.0
-,ASX-5GN,2020-11-10,AUD,1.67,2021-03-08,2.46,47.31,101.0,2020-12-18,1.35,OPEN,-19.16,-127.0,32.0,-41.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-19,5.64,168.57,271.0,2020-12-18,2.64,OPEN,25.71,185.0,22.0,15.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-03-25,3.17,50.95,97.0,2020-12-18,2.64,OPEN,25.71,185.0,27.0,50.0
-,ASX-MMM,2020-11-13,AUD,2.1,2021-04-07,3.19,51.9,90.0,2020-12-18,2.64,OPEN,25.71,185.0,24.0,50.0
-,ASX-M7T,2020-11-13,AUD,1.13,2021-09-09,2.2,94.69,80.0,2020-12-18,1.245,OPEN,10.18,73.0,12.0,11.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-08-18,2.65,170.41,157.0,2020-12-18,1.13,OPEN,15.31,124.0,11.0,9.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-03-12,1.51,54.08,119.0,2020-12-18,1.13,OPEN,15.31,124.0,27.0,28.0
-,ASX-MYQ,2020-11-17,AUD,0.98,2021-04-21,4.68,377.55,614.0,2020-12-18,1.13,OPEN,15.31,124.0,20.0,4.0
-,ASX-OCL,2020-11-18,AUD,13.19,2021-08-03,18.1,37.23,36.0,2020-12-18,13.3,OPEN,0.83,7.0,12.0,2.0
-,ASX-PBH,2020-11-19,AUD,11.46,2021-01-07,21.19,84.9,437.0,2020-12-18,11.9,OPEN,3.84,33.0,59.0,5.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-12,9.45,34.04,29.0,2020-12-18,1.77,OPEN,-74.89,-651.0,10.0,-220.0
-,ASX-PPH,2020-11-19,AUD,7.05,2021-09-09,9.58,35.89,31.0,2020-12-18,1.77,OPEN,-74.89,-651.0,10.0,-209.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-18,2.33,34.29,29.0,2020-12-18,1.77,OPEN,2.02,22.0,8.0,6.0
-,ASX-PPH,2020-11-25,AUD,1.735,2021-09-15,2.36,36.02,31.0,2020-12-18,1.77,OPEN,2.02,22.0,8.0,6.0
-,ASX-HM1,2020-11-26,AUD,4.69,2021-04-27,6.29,34.12,57.0,2020-12-18,4.58,OPEN,-2.35,-27.0,14.0,-7.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-06-25,18.07,40.08,48.0,2020-12-18,14.99,OPEN,16.2,186.0,10.0,40.0
-,ASX-MP1,2020-11-26,AUD,12.9,2021-09-01,27.47,112.95,102.0,2020-12-18,14.99,OPEN,16.2,186.0,8.0,14.0
-,ASX-MP1,2020-11-30,AUD,12.78,2021-06-29,17.9,40.06,48.0,2020-12-18,14.99,OPEN,17.29,242.0,9.0,43.0
-,ASX-MP1,2020-11-30,AUD,12.78,2021-09-05,27.21,112.91,102.0,2020-12-18,14.99,OPEN,17.29,242.0,6.0,15.0
-,ASX-PPH,2020-11-30,AUD,1.705,2021-09-23,2.29,34.31,29.0,2020-12-18,1.77,OPEN,3.81,53.0,6.0,11.0
-,ASX-PPH,2020-11-30,AUD,1.705,2021-09-20,2.32,36.07,31.0,2020-12-18,1.77,OPEN,3.81,53.0,6.0,11.0
-,ASX-AD8,2020-12-01,AUD,7.4,2021-06-08,14.13,90.95,121.0,2020-12-18,7.76,OPEN,4.86,72.0,9.0,5.0
-,ASX-BTH,2020-12-01,AUD,1.25,2021-04-09,1.81,44.8,88.0,2020-12-18,1.13,OPEN,-9.6,-142.0,13.0,-21.0
-,ASX-BTH,2020-12-01,AUD,1.25,2021-06-08,1.95,56.0,75.0,2020-12-18,1.13,OPEN,-9.6,-142.0,9.0,-17.0
