NEW,P.SYMBOL,P.DATE,CURRENCY,P.PRICE,EST.S.DATE,EST.S.PRICE,EST.PROFITPCT,EST.PROFITPCT252D,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
-,DHR,2020-06-09,USD,169.45,2021-06-09,196.98,16.25,11.0,2020-07-22,196.98,CLOSED,16.25,95.0,12.0,100.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,203.56,20.13,14.0,2020-07-29,203.56,CLOSED,20.13,101.0,14.0,100.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,199.74,17.88,12.0,2020-07-23,199.74,CLOSED,17.88,102.0,12.0,100.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,200.48,18.31,13.0,2020-07-23,200.48,CLOSED,18.31,105.0,12.0,100.0
-,DHR,2020-06-09,USD,169.45,2021-06-09,201.37,18.84,13.0,2020-07-23,201.37,CLOSED,18.84,108.0,12.0,100.0
-,FB,2020-06-09,USD,238.67,2021-06-09,322.94,35.31,24.0,2020-10-29,280.83,OPEN,17.66,31.0,39.0,50.0
-,FB,2020-06-10,USD,236.73,2021-06-10,318.05,34.35,24.0,2020-10-29,280.83,OPEN,18.63,33.0,39.0,54.0
-,FB,2020-06-10,USD,236.73,2021-06-10,320.35,35.32,24.0,2020-10-29,280.83,OPEN,18.63,33.0,39.0,53.0
-,AMZN,2020-06-11,USD,2557.96,2021-06-11,3312.56,29.5,20.0,2020-07-13,3312.56,CLOSED,29.5,232.0,9.0,100.0
-,FB,2020-06-11,USD,224.43,2021-06-11,295.93,31.86,22.0,2020-08-26,295.93,CLOSED,31.86,106.0,21.0,100.0
-,BRKb,2020-06-11,USD,4064.87,2021-06-11,4678.46,15.09,10.0,2020-08-07,4678.46,CLOSED,15.09,67.0,16.0,100.0
-,DHR,2020-06-11,USD,164.9,2021-06-11,195.96,18.84,13.0,2020-07-22,195.96,CLOSED,18.84,116.0,11.0,100.0
-,O,2020-06-11,USD,57.88,2021-06-11,66.79,15.39,11.0,2020-09-15,66.79,CLOSED,15.39,40.0,26.0,100.0
-,O,2020-06-11,USD,57.88,2021-06-11,66.79,15.39,11.0,2020-09-15,66.79,CLOSED,15.39,40.0,26.0,100.0
-,XBI,2020-06-11,USD,98.97,2021-06-11,114.62,15.81,11.0,2020-06-23,114.62,CLOSED,15.81,332.0,3.0,100.0
-,SHOP,2020-06-11,USD,725.12,2021-06-11,1084.96,49.62,34.0,2020-07-29,1084.96,CLOSED,49.62,261.0,13.0,100.0
-,PYPL,2020-06-11,USD,153.04,2021-06-11,199.5,30.36,21.0,2020-08-05,199.5,CLOSED,30.36,139.0,15.0,100.0
-,PYPL,2020-06-11,USD,153.04,2021-06-11,202.14,32.08,22.0,2020-08-05,202.14,CLOSED,32.08,147.0,15.0,100.0
-,MA,2020-06-11,USD,291.25,2021-06-11,392.76,34.85,24.0,2020-10-29,293.18,OPEN,0.66,1.0,38.0,2.0
-,MA,2020-06-11,USD,291.25,2021-06-11,395.38,35.75,25.0,2020-10-29,293.18,OPEN,0.66,1.0,38.0,2.0
-,MA,2020-06-11,USD,291.25,2021-06-11,394.28,35.38,24.0,2020-10-29,293.18,OPEN,0.66,1.0,38.0,2.0
-,UTX,2020-06-11,USD,100.92,2021-06-11,199.83,98.01,68.0,2020-10-29,95.42,OPEN,-5.45,-10.0,38.0,-6.0
-,UNH,2020-06-11,USD,283.73,2021-06-11,341.16,20.24,14.0,2020-10-29,303.68,OPEN,7.03,13.0,38.0,35.0
-,V,2020-06-11,USD,188.88,2021-06-11,232.02,22.84,16.0,2020-10-29,184.87,OPEN,-2.12,-4.0,38.0,-9.0
-,AMT,2020-06-11,USD,251.51,2021-06-11,302.46,20.26,14.0,2020-10-29,231.65,OPEN,-7.9,-14.0,38.0,-39.0
-,O,2020-06-11,USD,57.88,2021-06-11,69.46,20.01,14.0,2020-10-29,58.52,OPEN,1.11,2.0,38.0,6.0
-,O,2020-06-11,USD,57.88,2021-06-11,69.46,20.01,14.0,2020-10-29,58.52,OPEN,1.11,2.0,38.0,6.0
-,O,2020-06-11,USD,57.88,2021-06-11,68.41,18.19,13.0,2020-10-29,58.52,OPEN,1.11,2.0,38.0,6.0
-,O,2020-06-11,USD,57.88,2021-06-11,68.83,18.92,13.0,2020-10-29,58.52,OPEN,1.11,2.0,38.0,6.0
-,XAR,2020-06-11,USD,86.56,2021-06-11,100.35,15.93,11.0,2020-10-29,85.43,OPEN,-1.31,-2.0,38.0,-8.0
-,XAR,2020-06-11,USD,86.56,2021-06-11,100.73,16.37,11.0,2020-10-29,85.43,OPEN,-1.31,-2.0,38.0,-8.0
-,FB,2020-06-12,USD,228.58,2021-06-12,283.6,24.07,17.0,2020-08-26,283.6,CLOSED,24.07,81.0,21.0,100.0
-,FB,2020-06-12,USD,228.58,2021-06-12,303.86,32.93,23.0,2020-08-26,303.86,CLOSED,32.93,111.0,21.0,100.0
-,GOOG,2020-06-12,USD,1413.18,2021-06-12,1729.68,22.4,15.0,2020-09-02,1729.68,CLOSED,22.4,69.0,22.0,100.0
-,GOOG,2020-06-12,USD,1413.18,2021-06-12,1680.44,18.91,13.0,2020-09-02,1680.44,CLOSED,18.91,58.0,22.0,100.0
-,DHR,2020-06-12,USD,168.38,2021-06-12,198.01,17.6,12.0,2020-07-23,198.01,CLOSED,17.6,108.0,11.0,100.0
-,DHR,2020-06-12,USD,168.38,2021-06-12,196.44,16.66,12.0,2020-07-22,196.44,CLOSED,16.66,105.0,11.0,100.0
-,DHR,2020-06-12,USD,168.38,2021-06-12,196.07,16.44,11.0,2020-07-22,196.07,CLOSED,16.44,104.0,11.0,100.0
-,FB,2020-06-12,USD,228.58,2021-06-12,305.59,33.69,23.0,2020-10-29,280.83,OPEN,22.86,41.0,38.0,68.0
-,INDEXDJX-.DJI,2020-06-12,USD,25605.54,2021-06-12,30062.8,17.41,12.0,2020-10-29,26659.11,OPEN,4.11,7.0,38.0,24.0
-,MA,2020-06-12,USD,297.79,2021-06-12,398.36,33.77,23.0,2020-10-29,293.18,OPEN,-1.55,-3.0,38.0,-5.0
-,MA,2020-06-12,USD,297.79,2021-06-12,403.1,35.36,24.0,2020-10-29,293.18,OPEN,-1.55,-3.0,38.0,-4.0
-,FB,2020-06-15,USD,232.5,2021-06-15,293.65,26.3,18.0,2020-08-26,293.65,CLOSED,26.3,92.0,20.0,100.0
-,FB,2020-06-15,USD,232.5,2021-06-15,303.01,30.33,21.0,2020-08-26,303.01,CLOSED,30.33,106.0,20.0,100.0
-,ACN,2020-06-15,USD,199.79,2021-06-15,229.84,15.04,10.0,2020-08-06,229.84,CLOSED,15.04,73.0,14.0,100.0
-,BRKb,2020-06-15,USD,4058.93,2021-06-15,4896.59,20.64,14.0,2020-09-07,4896.59,CLOSED,20.64,62.0,23.0,100.0
-,DHR,2020-06-15,USD,171.55,2021-06-15,204.72,19.34,13.0,2020-08-03,204.72,CLOSED,19.34,99.0,13.0,100.0
-,DHR,2020-06-15,USD,171.55,2021-06-15,202.97,18.32,13.0,2020-07-23,202.97,CLOSED,18.32,121.0,10.0,100.0
-,UNP,2020-06-15,USD,167.93,2021-06-15,193.6,15.29,11.0,2020-08-11,193.6,CLOSED,15.29,68.0,16.0,100.0
-,PYPL,2020-06-15,USD,157.55,2021-06-15,201.28,27.76,19.0,2020-08-05,201.28,CLOSED,27.76,137.0,14.0,100.0
-,PYPL,2020-06-15,USD,157.55,2021-06-15,205.38,30.36,21.0,2020-08-27,205.38,CLOSED,30.36,105.0,20.0,100.0
-,PYPL,2020-06-15,USD,157.55,2021-06-15,206.58,31.12,21.0,2020-08-27,206.58,CLOSED,31.12,107.0,20.0,100.0
-,PYPL,2020-06-15,USD,157.55,2021-06-15,206.31,30.95,21.0,2020-08-27,206.31,CLOSED,30.95,107.0,20.0,100.0
